sex,name,nickname
2,abigail,aba
2,abigail,abagail
2,abigail,abagal
2,abigail,abagil
2,abigail,abagill
2,abigail,abba
2,abigail,abbe
2,abigail,abbey
2,abigail,abbie
2,abigail,abbigail
2,abigail,abbigal
2,abigail,abby
2,abigail,abegail
2,abigail,abey
2,abigail,abi
2,abigail,abie
2,abigail,abigal
2,abigail,abigale
2,abigail,abigial
2,abigail,abigil
2,abigail,abigill
2,abigail,aby
2,abigail,ebby
2,abijah,abiah
2,ada,adah
2,adela,addella
2,adela,adel
2,adela,adele
2,adela,adell
2,adela,adella
2,adela,adelle
2,adelaide,adalade
2,adelaide,adalaid
2,adelaide,adalaide
2,adelaide,addie
2,adelaide,addy
2,adelaide,adelade
2,adelaide,adelaid
2,adelaide,adelaida
2,adelaide,adie
2,adelaide,adilade
2,adelaide,adlade
2,adelaide,adlaid
2,adelaide,adlaide
2,adeline,adalin
2,adeline,adalina
2,adeline,adaline
2,adeline,addaline
2,adeline,addeline
2,adeline,adelaine
2,adeline,adelin
2,adeline,adelina
2,adeline,adiline
2,adeline,adline
2,adeline,adoline
2,adriana,adrian
2,adriana,adrianna
2,aetna,staetna
2,agatha,aga
2,agatha,agata
2,agatha,agathe
2,agnes,aggie
2,agnes,agnas
2,agnes,agnese
2,agnes,agness
2,agnes,agnus
2,agnes,anges
2,agnes,angnes
2,alberta,albert
2,alberta,albertena
2,alberta,albertha
2,alberta,albertia
2,alberta,albertie
2,alberta,albertina
2,alberta,albertine
2,alberta,alverta
2,alberta,elberta
2,alene,alline
2,alethea,aletha
2,alethea,altha
2,alethea,eletha
2,alethea,elitha
2,alethea,leatha
2,alethea,leathy
2,alethea,letha
2,alethea,lethe
2,alethea,lethia
2,alethea,lethie
2,alethea,lethy
2,alexandria,alexander
2,alexandria,alexandrine
2,alexandria,alix
2,alexina,alexine
2,alfreda,alferetta
2,alfreda,alfretta
2,alice,alace
2,alice,alcy
2,alice,alic
2,alice,alis
2,alice,alise
2,alice,allace
2,alice,allice
2,alice,allie
2,alice,allis
2,alice,ally
2,alicia,alecia
2,alicia,alica
2,alicia,elicia
2,alicia,elisha
2,alma,almy
2,alma,elma
2,alma,stelma
2,almira,almyra
2,almira,elmira
2,almira,elmirah
2,almira,elmire
2,almira,elmyra
2,alpha,alfa
2,alvina,alvine
2,alvina,alvinia
2,alvina,alwina
2,alvina,elvina
2,amanda,amand
2,amanda,amande
2,amanda,amandia
2,amanda,amandy
2,amanda,ammanda
2,amanda,emanda
2,amanda,mand
2,amanda,manda
2,amanda,manday
2,amanda,mande
2,amanda,mandey
2,amanda,mandie
2,amanda,mandy
2,amanda,stamand
2,amarilla,rilla
2,amelia,amealia
2,amelia,ameila
2,amelia,ameilia
2,amelia,amela
2,amelia,amellia
2,amelia,amila
2,amelia,amilea
2,amelia,amilia
2,amelia,amlia
2,amelia,ammelia
2,amelia,emalia
2,amelia,emela
2,amelia,emelia
2,amelia,emila
2,amelia,emilia
2,amelia,emillia
2,amelia,emmelia
2,america,merica
2,amy,ame
2,amy,amey
2,anais,anaise
2,anais,anice
2,anais,anise
2,anais,annas
2,anais,annice
2,anais,annis
2,anais,annise
2,anastasia,anastacia
2,anastasia,anastasie
2,anastasia,anastatia
2,anastasia,annastasia
2,anastasia,stacia
2,andrea,andra
2,angeline,ageline
2,angeline,angaline
2,angeline,ange
2,angeline,angel
2,angeline,angele
2,angeline,angelena
2,angeline,angelia
2,angeline,angelina
2,angeline,angella
2,angeline,angie
2,angeline,angiline
2,angeline,angline
2,angeline,angy
2,angeline,anjaline
2,angeline,anjeline
2,angeline,gena
2,angeline,gina
2,angeline,stange
2,anna,aann
2,anna,aanna
2,anna,an
2,anna,ana
2,anna,anah
2,anna,ane
2,anna,aney
2,anna,ania
2,anna,anie
2,anna,ann
2,anna,annah
2,anna,annee
2,anna,anner
2,anna,anney
2,anna,anni
2,anna,annia
2,anna,annie
2,anna,anniefw
2,anna,anny
2,anna,stann
2,anna,stanna
2,annabel,anabel
2,annabel,anabell
2,annabel,annabell
2,annabel,annabella
2,anne,stanne
2,annette,anetta
2,annette,anette
2,annette,annet
2,annette,anneta
2,annette,annett
2,annette,annetta
2,annette,annettie
2,annette,nannette
2,annita,annitamary
2,anthony,stanthony
2,antoinette,antionette
2,antoinette,antoinett
2,antoinette,antonet
2,antoinette,antonett
2,antoinette,antonette
2,antoinette,antoniette
2,antonia,antona
2,antonia,antonie
2,antonia,antonina
2,antonia,antonio
2,antonia,tonie
2,antonia,tony
2,appolonia,apolonia
2,arabella,arabel
2,arabella,arabell
2,arabella,arabelle
2,arabella,arbell
2,arabella,arbella
2,arabella,arrabella
2,araminta,aramenta
2,araminta,araminda
2,araminta,armantine
2,araminta,armenta
2,araminta,armina
2,araminta,arminda
2,araminta,arminta
2,araminta,armintha
2,araminta,menta
2,araminta,minta
2,araminta,mintie
2,araminta,minty
2,aretha,artie
2,ariane,ariana
2,arizona,arazona
2,artemisia,artemesia
2,artemisia,artemise
2,artemisia,artemissa
2,artemisia,arthemise
2,artemisia,artimissa
2,asenath,aseneth
2,asenath,asenith
2,aubie,staubie
2,augusta,agusta
2,augusta,agustia
2,augusta,agustina
2,augusta,aug
2,augusta,august
2,augusta,auguste
2,augusta,augustia
2,augusta,augustie
2,augusta,augustina
2,augusta,augustine
2,augusta,augustus
2,augusta,gussie
2,augusta,gussy
2,augusta,gusta
2,augusta,gustie
2,augusta,gusty
2,augusta,staugustus
2,aurelia,arelia
2,aurelia,aurelie
2,aurelia,aurella
2,aurelia,aurilia
2,aurelia,aurilla
2,aurelia,orelia
2,aurelia,orella
2,aurilla,orilla
2,austin,austinm
2,azalea,azalia
2,azalea,azelia
2,babette,babetta
2,barbara,babara
2,barbara,babra
2,barbara,barb
2,barbara,barba
2,barbara,barbar
2,barbara,barbaria
2,barbara,barbarra
2,barbara,barbary
2,barbara,barbay
2,barbara,barbera
2,barbara,barbery
2,barbara,barbey
2,barbara,barbora
2,barbara,barbra
2,barbara,barbrey
2,barbara,barbria
2,barbara,barbry
2,barbara,barby
2,barsheba,bersheba
2,bathsheba,bashaba
2,bathsheba,basheba
2,beatrice,beatricem
2,beatrice,beatris
2,beatrice,beattrice
2,beatrice,bee
2,belinda,balinda
2,bellamarie,bellamariec
2,belle,bell
2,belle,bellie
2,bernadine,bernadina
2,bernadine,bernardina
2,bernadine,bernie
2,bernardine,bernardinem
2,bernice,burnice
2,bertha,bartha
2,bertha,berta
2,bertha,berte
2,bertha,berth
2,bertha,berthe
2,bertha,berthia
2,bertha,berthie
2,bertha,berthy
2,bertha,bertia
2,bertha,bertie
2,bertha,bertine
2,bertha,berttie
2,bertha,berty
2,bertha,birtha
2,bertha,birthie
2,bertha,birthy
2,bertha,birtie
2,bertha,birty
2,bertha,burtha
2,bertha,burthy
2,bertha,burtie
2,bertha,burty
2,beulah,beaulah
2,beulah,beula
2,beulah,buela
2,beulah,buelah
2,beulah,bula
2,beulah,bulah
2,beulah,bulia
2,blanche,blance
2,blanche,blanch
2,blanche,blanchie
2,bridget,biddie
2,bridget,brdget
2,bridget,bridet
2,bridget,bridg
2,bridget,bridged
2,bridget,bridgett
2,bridget,bridgit
2,bridget,bridgt
2,bridget,bridjet
2,bridget,briget
2,bridget,brigett
2,bridget,brigget
2,bridget,brigida
2,bridget,brigit
2,caledonia,caladona
2,caledonia,caladonia
2,caledonia,caldona
2,caledonia,calidonia
2,california,calafornia
2,callista,cal
2,callista,calista
2,callista,cally
2,callista,caly
2,callista,celista
2,callista,clista
2,callista,colista
2,callista,collie
2,camilla,camelia
2,camilla,cami
2,camilla,camie
2,camilla,camila
2,camilla,camile
2,camilla,camilia
2,camilla,camille
2,camilla,cammie
2,camilla,canelia
2,camilla,comelia
2,candace,candacy
2,candace,candas
2,candace,candes
2,candace,candice
2,candace,candis
2,candace,candus
2,candace,candy
2,capitola,captola
2,carla,carlie
2,carmella,carmelia
2,caroline,cara
2,caroline,carah
2,caroline,caraline
2,caroline,careline
2,caroline,carey
2,caroline,carie
2,caroline,cariline
2,caroline,carline
2,caroline,caro
2,caroline,carol
2,caroline,carolene
2,caroline,carolin
2,caroline,carolyn
2,caroline,carra
2,caroline,carre
2,caroline,carrey
2,caroline,carri
2,caroline,carrie
2,caroline,carroline
2,caroline,carry
2,caroline,cary
2,caroline,coroline
2,caroline,kari
2,caroline,karolina
2,caroline,karoline
2,caroline,kary
2,cassandra,casanda
2,cassandra,casander
2,cassandra,casandra
2,cassandra,casie
2,cassandra,cass
2,cassandra,cassa
2,cassandra,cassanda
2,cassandra,cassander
2,cassandra,cassey
2,cassandra,cassia
2,cassandra,cassie
2,cassandra,cassy
2,cassandra,kissie
2,catherine,cady
2,catherine,cata
2,catherine,catarina
2,catherine,catarine
2,catherine,cate
2,catherine,caterina
2,catherine,caterine
2,catherine,catey
2,catherine,cath
2,catherine,cathaine
2,catherine,cathar
2,catherine,catharan
2,catherine,catharen
2,catherine,catharene
2,catherine,catharin
2,catherine,catharina
2,catherine,catharine
2,catherine,catharn
2,catherine,catharne
2,catherine,cathe
2,catherine,cather
2,catherine,catheran
2,catherine,catheren
2,catherine,catherena
2,catherine,catherene
2,catherine,catherin
2,catherine,catherina
2,catherine,cathern
2,catherine,catherne
2,catherine,catheron
2,catherine,cathie
2,catherine,cathine
2,catherine,cathirine
2,catherine,cathirne
2,catherine,cathn
2,catherine,cathorin
2,catherine,cathorine
2,catherine,cathr
2,catherine,cathran
2,catherine,cathren
2,catherine,cathrena
2,catherine,cathrene
2,catherine,cathrian
2,catherine,cathrien
2,catherine,cathrin
2,catherine,cathrina
2,catherine,cathrine
2,catherine,cathron
2,catherine,cathy
2,catherine,catie
2,catherine,catrin
2,catherine,catrina
2,catherine,catrine
2,catherine,cattie
2,catherine,catty
2,catherine,caty
2,catherine,chatarina
2,catherine,chatharine
2,catherine,chatherine
2,catherine,chathrine
2,catherine,chatrine
2,catherine,kat
2,catherine,kata
2,catherine,katarina
2,catherine,katarine
2,catherine,kate
2,catherine,katee
2,catherine,katerina
2,catherine,katerine
2,catherine,katey
2,catherine,kath
2,catherine,katharin
2,catherine,katharina
2,catherine,katharine
2,catherine,kathe
2,catherine,katherin
2,catherine,katherina
2,catherine,katherine
2,catherine,kathern
2,catherine,kathi
2,catherine,kathie
2,catherine,kathleen
2,catherine,kathren
2,catherine,kathrin
2,catherine,kathrina
2,catherine,kathrine
2,catherine,kathy
2,catherine,kati
2,catherine,katie
2,catherine,katrina
2,catherine,katrine
2,catherine,katte
2,catherine,kattie
2,catherine,katty
2,catherine,katy
2,catherine,kit
2,catherine,kitie
2,catherine,kitte
2,catherine,kittey
2,catherine,kittie
2,catherine,kitty
2,catherine,kity
2,catherine,stcatharine
2,catherine,trena
2,catherine,trina
2,cecilia,cealia
2,cecilia,cecelia
2,cecilia,cecil
2,cecilia,cecila
2,cecilia,cecile
2,cecilia,cecillia
2,cecilia,cecily
2,cecilia,ceclia
2,cecilia,ceiley
2,cecilia,ceilia
2,cecilia,ceily
2,cecilia,cela
2,cecilia,celey
2,cecilia,celia
2,cecilia,celie
2,cecilia,cicelia
2,cecilia,cicely
2,cecilia,cicilia
2,cecilia,cicily
2,cecilia,secelia
2,cecilia,secilia
2,cecilia,selia
2,cecilia,sicily
2,cecilia,sisley
2,cecilia,siss
2,cecilia,sissie
2,cecilia,sissy
2,celeste,celest
2,celeste,celesta
2,celeste,celestia
2,celeste,celestial
2,celeste,celestin
2,celeste,selesta
2,celeste,selestia
2,celeste,selestine
2,celia,cealy
2,celia,cella
2,celia,cellia
2,celia,cely
2,celia,cilia
2,celia,sealy
2,celia,seely
2,celia,seley
2,celia,selie
2,celia,sely
2,celia,silly
2,celia,zelia
2,celina,celena
2,celinda,salinda
2,celinda,selinda
2,cena,stcena
2,charity,charety
2,charity,charrity
2,charity,charty
2,charles,stcharles
2,charlotte,carlota
2,charlotte,carlotta
2,charlotte,carlotte
2,charlotte,chalotte
2,charlotte,charlet
2,charlotte,charlett
2,charlotte,charlette
2,charlotte,charley
2,charlotte,charlie
2,charlotte,charllotte
2,charlotte,charloote
2,charlotte,charlot
2,charlotte,charlota
2,charlotte,charlote
2,charlotte,charlott
2,charlotte,charlotta
2,charlotte,charlottee
2,charlotte,charlottie
2,charlotte,charlotty
2,charlotte,charolette
2,charlotte,charolotte
2,charlotte,chorlotte
2,charlotte,lota
2,charlotte,lotie
2,charlotte,lotta
2,charlotte,lotte
2,charlotte,lottia
2,charlotte,lottie
2,charlotte,lotty
2,charlotte,scharlott
2,charlotte,scharlotte
2,charlotte,sharlet
2,charlotte,sharlett
2,charlotte,sharlot
2,charlotte,sharlott
2,charlotte,sharlotta
2,charlotte,sharlotte
2,chauncey,chancy
2,child,th
2,chloe,cloa
2,chloe,cloe
2,chloe,cloey
2,chloe,cloie
2,chloe,stcloe
2,christine,chistina
2,christine,chris
2,christine,chrissie
2,christine,christ
2,christine,christa
2,christine,christain
2,christine,christan
2,christine,christana
2,christine,christania
2,christine,christanna
2,christine,christe
2,christine,christeana
2,christine,christeen
2,christine,christeena
2,christine,christen
2,christine,christena
2,christine,christene
2,christine,christenia
2,christine,christi
2,christine,christiana
2,christine,christiane
2,christine,christiania
2,christine,christiann
2,christine,christianna
2,christine,christie
2,christine,christiena
2,christine,christin
2,christine,christina
2,christine,christinia
2,christine,christinna
2,christine,christna
2,christine,christy
2,christine,crissa
2,christine,crissie
2,christine,crissy
2,christine,cristena
2,christine,cristenia
2,christine,cristian
2,christine,cristiana
2,christine,cristie
2,christine,cristina
2,christine,cristine
2,christine,kristine
2,christine,tena
2,christine,tina
2,christine,tiny
2,cindarella,cindarilla
2,cinderella,cinderilla
2,claire,clair
2,claire,clar
2,claire,clare
2,claire,stclair
2,claire,stclaire
2,claire,stclare
2,clara,chlora
2,clara,claira
2,clara,clarah
2,clara,claria
2,clara,clarie
2,clara,clarra
2,clara,clarrah
2,clara,clarry
2,clara,clary
2,clara,klara
2,clarence,clarance
2,claribel,clarabell
2,clarinda,clarenda
2,clarinda,clarrinda
2,clarinda,clerinda
2,clarinda,clorinda
2,clarinda,clory
2,clarinda,corinda
2,clarissa,claracy
2,clarissa,clarasa
2,clarissa,clarasy
2,clarissa,clarcy
2,clarissa,clarecy
2,clarissa,claressa
2,clarissa,clarey
2,clarissa,clarica
2,clarissa,clarice
2,clarissa,claricy
2,clarissa,claris
2,clarissa,clarisa
2,clarissa,clarise
2,clarissa,clarisey
