sex,name,nickname
1,aaron,aaran
1,aaron,aron
1,aaron,arron
1,abel,able
1,abiel,abial
1,abraham,ab
1,abraham,abb
1,abraham,abe
1,abraham,aberham
1,abraham,abm
1,abraham,abr
1,abraham,abra
1,abraham,abrah
1,abraham,abrahan
1,abraham,abrahm
1,abraham,abreham
1,abraham,abrham
1,abraham,abriham
1,abram,abrm
1,abram,abrom
1,abram,abrum
1,absalom,absalum
1,absalom,abslom
1,absalom,absolam
1,absalom,absolem
1,absalom,absolom
1,achilles,achille
1,adam,adams
1,adam,addam
1,addison,adison
1,adelaide,addie
1,adelaide,adie
1,adelbert,adalbert
1,adelbert,adebert
1,adolph,adolf
1,adolph,adolfo
1,adolph,adolfus
1,adolph,adolp
1,adolph,adolphas
1,adolph,adolphe
1,adolph,adolphis
1,adolph,adolpho
1,adolph,adolphus
1,adolph,adolpus
1,adolph,adoph
1,adolph,dolphus
1,adrian,adrain
1,adrian,adrien
1,alan,alen
1,alan,alin
1,alan,allan
1,alan,allen
1,alan,allin
1,albert,abert
1,albert,al
1,albert,albertis
1,albert,alberto
1,albert,albertus
1,albert,albet
1,albert,albrecht
1,albert,albrt
1,albert,albt
1,albert,alburt
1,albert,alburtis
1,albert,alburtus
1,albion,albon
1,alexander,alax
1,alexander,alaxander
1,alexander,alec
1,alexander,aleck
1,alexander,alek
1,alexander,alex
1,alexander,alexan
1,alexander,alexand
1,alexander,alexanderjr
1,alexander,alexandre
1,alexander,alexandrew
1,alexander,alexandria
1,alexander,alexr
1,alexander,alic
1,alexander,alick
1,alexander,alix
1,alexander,alixander
1,alexander,alleck
1,alexander,allex
1,alexander,allexander
1,alexander,alx
1,alexander,alxander
1,alexander,elaxander
1,alexander,elec
1,alexander,elex
1,alexander,elexander
1,alfred,afred
1,alfred,alf
1,alfred,alferd
1,alfred,alfered
1,alfred,alfert
1,alfred,alfredo
1,alfred,alfrid
1,alfred,alpherd
1,alfred,alphred
1,alfred,stalfred
1,algernon,algenon
1,alicia,elisah
1,alicia,elish
1,alicia,elishia
1,almo,stalmo
1,alois,aloys
1,alonzo,alanzo
1,alonzo,alenzo
1,alonzo,alonso
1,alonzo,alonza
1,alonzo,alozo
1,alonzo,elonza
1,alonzo,elonzo
1,alonzo,lon
1,alonzo,loni
1,alonzo,lonie
1,alonzo,lonnie
1,alonzo,lonny
1,alonzo,lonza
1,alonzo,lonzo
1,alonzo,olonzo
1,alpha,alfa
1,alphaeus,alpheus
1,alphaeus,alphius
1,alphaeus,alphus
1,alphonso,alfons
1,alphonso,alfonse
1,alphonso,alfonzo
1,alphonso,alphons
1,alphonso,alphonse
1,alphonso,alphonsus
1,alphonso,alphonzo
1,alvah,alvy
1,alvin,alvan
1,alvin,alven
1,ambrose,ambroise
1,ambrose,ambros
1,amos,amous
1,amos,amus
1,ananias,annanias
1,ananias,annias
1,anastasio,anastacio
1,andreas,andres
1,andreas,andrias
1,andreas,andrus
1,andrew,adrew
1,andrew,and
1,andrew,andew
1,andrew,andey
1,andrew,andie
1,andrew,andr
1,andrew,andrews
1,andrew,androw
1,andrew,andru
1,andrew,andrue
1,andrew,andrw
1,andrew,andw
1,andrew,andy
1,andrew,standrew
1,ange,stange
1,anna,stanna
1,ansel,ancel
1,ansel,ancil
1,anthony,ant
1,anthony,anthany
1,anthony,anthny
1,anthony,anthon
1,anthony,anthoney
1,anthony,antney
1,anthony,antny
1,anthony,anto
1,anthony,antoin
1,anthony,antoine
1,anthony,anton
1,anthony,antona
1,anthony,antone
1,anthony,antoney
1,anthony,antoni
1,anthony,antonie
1,anthony,antony
1,anthony,antwine
1,anthony,athony
1,anthony,tone
1,anthony,toney
1,anthony,toni
1,anthony,tonie
1,anthony,tony
1,aquilla,aquila
1,archibald,arch
1,archibald,archa
1,archibald,archabald
1,archibald,archable
1,archibald,archbald
1,archibald,archd
1,archibald,arche
1,archibald,archebald
1,archibald,archey
1,archibald,archibal
1,archibald,archible
1,archibald,archibold
1,archibald,archie
1,archibald,archy
1,armand,armond
1,arnold,arne
1,arnold,arni
1,arnold,arnie
1,arnold,arno
1,artemas,artemus
1,arthur,art
1,arthur,arter
1,arthur,arthar
1,arthur,arther
1,arthur,arthor
1,arthur,artie
1,arthur,artur
1,arthur,arty
1,arthur,athur
1,arthur,aurther
1,arthur,aurthur
1,arthur,authur
1,asbury,asberry
1,asbury,asbery
1,ashley,ashly
1,aubrey,aubry
1,augusttus,staugusttus
1,augustus,agust
1,augustus,agusta
1,augustus,agustas
1,augustus,agustin
1,augustus,agustine
1,augustus,agustus
1,augustus,aug
1,augustus,augest
1,augustus,augst
1,augustus,augt
1,augustus,augus
1,augustus,august
1,augustus,augusta
1,augustus,augustas
1,augustus,auguste
1,augustus,augustes
1,augustus,augustin
1,augustus,augustine
1,augustus,augustis
1,augustus,gus
1,augustus,guss
1,augustus,gussie
1,augustus,gust
1,augustus,gustus
1,augustus,staugustine
1,austin,austen
1,austin,auston
1,bailey,baily
1,baltazar,balthasar
1,barnaba,barnabasr
1,barnabas,barna
1,barnabas,barnabus
1,barney,barnie
1,barney,barny
1,bartholomew,bart
1,bartholomew,barth
1,bartholomew,bartholamew
1,bartholomew,bartholemew
1,bartholomew,bartholmew
1,bartholomew,bartie
1,bartholomew,barto
1,basil,basel
