name,cleaned
ab,abraham
abe,abraham
aberham,abraham
abert,albert
able,abel
abm,abraham
abr,abraham
abra,abraham
abrah,abraham
abrahm,abraham
abreham,abraham
abrham,abraham
abrm,abraham
adalbert,adelbert
adebert,adelbert
aden,aidan
adison,addison
adolf,adolph
adolp,adolph
adolpus,adolphus
adoph,adolph
adrain,adrian
adrew,andrew
afred,alfred
agust,august
agusta,augustus
agustas,augustus
agustin,augustine
agustus,augustus
alac,alexander
alax,alexander
alaxander,alexander
albet,albert
albrt,albert
albt,albert
alburt,albert
alec,alexander
aleck,alec
alek,alexander
alen,allen
alexan,alexander
alexand,alexander
alexandre,alexander
alexr,alexander
alf,alfred
alfa,alpha
alfard,alfred
alfrid,alfred
alic,alexander
alin,allen
alison,allison
alix,alexander
alixander,alexander
allan,allen
allex,alexander
allick,alexander
allin,allen
alois,aloysius
alph,alphonso
alpherd,alfred
alphons,alfonso
alphonzo,alfonso
alvah,alva
alvan,alvin
alx,alexander
alxander,alexander
amanuel,emanuel
ambros,ambrose
amis,amos
ammi,amy
ancel,ansel
ancil,ansel
and,andrew
andew,andrew
andey,andrew
andie,andrew
andr,andrew
androw,andrew
andru,andrew
andrue,andrew
andrw,andrew
andw,andrew
andy,andrew
ant,anthony
anthany,anthony
anthoney,anthony
antney,anthony
antny,anthony
anto,anthony
antona,anthony
antoney,anthony
antoni,anthony
antony,anthony
arch,archibald
archa,archibald
archable,archibald
archd,archibald
arche,archibald
archebald,archiblald
archey,archibald
archible,archbald
archy,archibald
arne,arnold
arni,arnold
arnie,arnold
arno,arnold
arnt,ernest
aron,aaron
art,arthur
arter,arthur
arther,arthur
arthor,arthur
artie,arthur
arty,arthur
ash,ashley
athony,anthony
athur,arthur
aug,augustus
augest,augustus
augst,augustus
augt,augustus
augus,augustus
augustas,augustus
augustin,augustine
aurther,arthur
aurthur,arthur
ausker,oscar
austen,austin
auston,austin
authur,author
baily,bailey
baley,bailey
banner,bernard
barna,barnabas
barnard,bernard
barnie,bernard
barny,bernard
bart,bartholomew
barth,bartholomew
bartie,bartholomew
barto,bartholomew
bastian,sebastian
bejamin,benjamin
ben,benjamin
benard,bernard
benedick,benedict
bengaman,benjamin
bengamin,benjamin
bengamine,benjamin
bengeman,benjamin
